support,itemsets_str,length
0.005405405405405406,corporate social responsibility + stakeholder engagement,2
0.005405405405405406,corporate social responsibility + sustainable consumption,2
0.005405405405405406,corporate social responsibility + systematic review,2
0.005405405405405406,corporate social responsibility + vietnam,2
0.005405405405405406,csr + financial performance,2
0.005405405405405406,csr + purchase intention,2
0.005405405405405406,csr + purchase intentions,2
0.005405405405405406,csr + sem,2
0.005405405405405406,csr + social media,2
0.005405405405405406,csr + sustainability,2
0.005405405405405406,csr communication,1
0.005405405405405406,csr support,1
0.005405405405405406,customer engagement,1
0.005405405405405406,customer loyalty + developing country,2
0.005405405405405406,customer loyalty + pakistan,2
0.005405405405405406,customer loyalty + sustainability,2
0.005405405405405406,customer perceived ethicality,1
0.005405405405405406,customer-company identification,1
0.005405405405405406,e-trust,1
0.005405405405405406,electronic word of mouth,1
0.005405405405405406,environmental concern,1
0.005405405405405406,environmental corporate social responsibility,1
0.005405405405405406,environmental management,1
0.005405405405405406,environmental sustainability,1
0.005405405405405406,esg,1
0.005405405405405406,ewom,1
0.005405405405405406,fit,1
0.005405405405405406,generation z,1
0.005405405405405406,green trust,1
0.005405405405405406,hotel,1
0.005405405405405406,hotel industry,1
0.005405405405405406,image,1
0.005405405405405406,internationalization,1
0.005405405405405406,iran,1
0.005405405405405406,latent class model,1
0.005405405405405406,life insurance,1
0.005405405405405406,loyalty + reputation,2
0.005405405405405406,loyalty + satisfaction,2
0.005405405405405406,micro-csr,1
0.005405405405405406,organisational commitment,1
0.005405405405405406,organizational identification + organizational trust,2
0.005405405405405406,organizational pride,1
0.005405405405405406,perceived behavioral control,1
0.005405405405405406,perceived corporate social responsibility,1
0.005405405405405406,perceived external prestige,1
0.005405405405405406,perceived quality,1
0.005405405405405406,personal values,1
0.005405405405405406,philanthropy,1
0.005405405405405406,purchase intention + trust,2
0.005405405405405406,purchase intention + willingness to pay,2
0.005405405405405406,resilience,1
0.005405405405405406,review,1
0.005405405405405406,saudi arabia,1
0.005405405405405406,social media + twitter,2
0.005405405405405406,stakeholder engagement + sustainable development,2
0.005405405405405406,stakeholders,1
0.005405405405405406,strategic management,1
0.005405405405405406,sustainable consumption + sustainable development,2
0.005405405405405406,sustainable development goals,1
0.005405405405405406,tourism,1
0.005405405405405406,twitter,1
0.005405405405405406,values,1
0.005405405405405406,voluntary pro-environmental behavior,1
